Query number,"Delta OSS (2.0.0rc1: 2_12)
(16 executors / 10 cores / 40Gb)",,,,Hudi Master(16 executors / 10 cores / 40Gb),,,
,Run 1 (ms),Run 2 (ms),Run 3 (ms),Avg (s),Run 1 (ms),Run 2 (ms),Run 3 (ms),Avg (s)
q1,52015,10308,10406,24,35757,10242,9429,18
q10,24557,11120,10713,15,24096,8994,8900,14
q11,93586,86364,87054,89,89276,85250,83490,86
q12,5957,3659,3714,4,4747,3240,2536,4
q13,18851,16721,16940,18,17281,16626,16026,17
q14a,103070,96959,98256,99,102831,98426,96070,99
q14b,90032,88300,87133,88,87413,86450,87179,87
q15,11307,10697,10522,11,9852,9410,9686,10
q16,80720,79613,77210,79,84722,83307,80197,83
q17,16174,16804,16606,17,15283,15261,15222,15
q18,21725,22988,22424,22,20858,22625,21277,22
q19,8008,8123,7974,8,5938,6035,5982,6
q2,28955,29106,28513,29,28306,29657,28455,29
q20,4578,5031,4832,5,3793,4179,4108,4
q21,6590,4181,3766,5,4142,3087,2447,3
q22,11048,10717,10928,11,10411,10244,10419,10
q23a,338409,338902,336622,338,333203,337155,333732,335
q23b,336811,334670,336924,336,333256,332018,331270,332
q24a,84153,84709,83264,84,83112,83969,84370,84
q24b,76704,83289,76461,79,77208,75037,74569,76
q25,15726,15064,15036,15,13579,12137,11908,13
q26,12774,10925,10699,11,10396,10355,10439,10
q27,12384,12582,12282,12,12018,11744,11570,12
q28,160980,154518,155655,157,154886,152781,151517,153
q29,36663,35928,36146,36,33978,34360,34546,34
q3,4459,4673,4242,4,3357,3403,3367,3
q30,16134,14971,14998,15,18655,13270,13807,15
q31,22430,24184,25230,24,19903,21752,22207,21
q32,3337,3381,3447,3,2679,2332,2388,2
q33,8058,8496,8540,8,6259,6798,6374,6
q34,2250,2054,1940,2,701,550,569,1
q35,25341,25679,26629,26,23826,25503,24559,25
q36,11936,11936,11586,12,11254,11736,10907,11
q37,11045,11651,11400,11,11176,10812,11435,11
q38,53186,53494,52668,53,50506,51288,51126,51
q39a,10378,10087,10285,10,9095,9046,8849,9
q39b,8866,9061,8893,9,9009,8663,7746,8
q4,187362,189802,190007,189,183734,185845,184442,185
q40,11970,10929,12178,12,10753,10393,10133,10
q41,2962,2402,2552,3,1328,1177,1221,1
q42,2780,2748,2757,3,1884,2129,2242,2
q43,7699,7414,7448,8,6673,6763,7670,7
q44,50681,50272,53058,51,50174,49740,50267,50
q45,10937,10351,10561,11,9187,8953,9304,9
q46,2381,2233,2358,2,943,598,656,1
q47,20623,20647,20765,21,20161,19902,19872,20
q48,15828,15849,16148,16,14254,14186,14322,14
q49,16726,16465,17988,17,14983,14619,15975,15
q5,33367,30674,31411,32,29233,27933,28802,29
q50,99645,99328,100771,100,97921,96451,97050,97
q51,29022,28254,27912,28,29542,27095,28249,28
q52,2945,3050,3106,3,2171,2199,2356,2
q53,6581,6645,6652,7,5460,6156,5547,6
q54,12054,12062,12535,12,9305,10037,9470,10
q55,2737,2679,3028,3,2030,1912,1991,2
q56,6590,6270,6263,6,4158,4387,4109,4
q57,15208,15444,15346,15,14686,14505,14757,15
q58,6227,6229,7215,7,4880,4430,4597,5
q59,30335,30810,31918,31,28973,29037,29037,29
q6,9588,10288,9506,10,8450,8092,8703,8
q60,8096,8362,7945,8,5772,6158,5736,6
q61,7912,8075,7827,8,5327,5440,5858,6
q62,12411,10852,10951,11,10326,10269,10412,10
q63,6425,6740,7192,7,4981,5191,5226,5
q64,68983,69641,72060,70,65116,68040,68801,67
q65,61814,62125,61830,62,60768,61120,60743,61
q66,16243,15656,15761,16,14357,14384,14320,14
q67,296353,297079,298455,297,299597,300772,297902,299
q68,2670,2521,2729,3,752,710,669,1
q69,11023,11340,11993,11,9561,9366,8853,9
q7,13955,13133,14168,14,13490,13573,12626,13
q70,17895,17566,19755,18,17161,17110,16636,17
q71,7505,6979,8480,8,5753,5352,5347,5
q72,47912,47998,48435,48,47387,46228,46142,47
q73,2274,2142,2154,2,720,690,559,1
q74,75898,77630,76312,77,75573,74262,74024,75
q75,72909,79601,74633,76,77063,72421,72458,74
q76,48688,50953,55775,52,60277,52525,53418,55
q77,9012,7924,7137,8,5654,4824,4349,5
q78,194787,197730,197502,197,197235,199822,196973,198
q79,13912,14345,13868,14,13410,12935,13163,13
q8,11815,11940,10820,12,11011,10363,10244,11
q80,35397,36269,35984,36,33372,32379,32265,33
q81,20728,20918,19978,21,20080,19258,19940,20
q82,14305,14631,15550,15,15187,14079,14085,14
q83,5322,5970,5735,6,3429,3345,3256,3
q84,9833,10721,10372,10,8911,8421,8344,9
q85,14232,15426,14675,15,11504,10988,10823,11
q86,6274,6547,6311,6,5663,5689,5646,6
q87,54655,54091,54410,54,52923,51862,51513,52
q88,99971,100126,103445,101,100924,97978,96960,99
q89,7997,7818,7922,8,7049,6713,6751,7
q9,34830,35015,36826,36,36033,33874,33962,35
q90,11115,11555,13014,12,12093,11032,11074,11
q91,8480,9243,8701,9,6651,6457,6388,6
q92,2758,3318,3043,3,2392,2027,2140,2
q93,112050,112816,114619,113,113699,112053,112774,113
q94,54172,40023,45486,47,40921,39192,39175,40
q95,60406,61586,61517,61,60321,59611,58710,60
q96,13230,13446,13521,13,12029,12253,11933,12
q97,73149,73434,72941,73,74702,73265,71753,73
q98,6539,6326,6526,6,6007,5980,5562,6
q99,23411,23724,23206,23,26748,24122,24455,25
,,,,,,,,
,,,,Delta (2.0.0_rc1) (s),,,,Hudi (master) (s)
Total (seconds),,,,4043,,,,3897
